ts, z0, z1, z2, z3, z4, z5, z6, z7, z8, z9, z10, z11, z12, z13, z14, z15, z16, z17, z18, z19, z20, z21, z22, z23, z24, z25, z26, z27, z28, z29, z30, z31, z32, z33, z34, z35, z36, z37, z38, z39, z40, z41, z42, z43, z44, z45, z46, z47, z48, z49, z50, z51, z52, z53, z54, z55, z56, z57, z58, z59, z60, z61, z62, z63, z64, z65, z66, z67, z68, z69, z70, z71, z72, z73, z74, z75, z76, z77, z78, z79, z80, z81, z82, z83, z84, z85, z86, z87, z88, z89, z90, z91, z92, z93, z94, z95, z96, z97, z98, z99, z100, z101, z102, z103, z104, z105, z106, z107, z108, z109, z110, z111, z112, z113, z114, z115, z116, z117, z118, z119, z120, z121, z122, z123, z124, z125
0, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3
1, 2, 2, 2, 4, 2, 2, 4, 4, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 4, 2, 2, 3, 5, 5, 3, 3, 2, 3, 5, 5, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 4, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 5, 5, 4, 3, 3, 2, 3, 3
2, 3, 2, 4, 4, 2, 4, 4, 4, 4, 2, 4, 4, 2, 4, 2, 4, 2, 4, 5, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 5, 5, 3, 3, 3, 3, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 2, 2, 2, 3, 2, 4, 2, 3, 2, 2, 2, 4, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 4, 3, 3, 3, 3, 3
3, 3, 4, 4, 5, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 6, 3, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 5, 4, 3, 3, 5, 5, 5, 3, 3, 3, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 2, 3, 3, 3, 4, 4, 3, 3, 2, 3, 4, 4, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 4, 5, 5, 3, 3, 3
4, 3, 4, 4, 5, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 6, 3, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 5, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 5, 4, 3, 5, 6, 6, 5, 5, 3, 5, 6, 6, 5, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 5, 5, 3, 5, 5, 7, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5
5, 3, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 6, 3, 5, 4, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 5, 3, 5, 5, 5, 4, 3, 5, 3, 4, 4, 3, 6, 3, 5, 4, 3, 5, 7, 7, 5, 5, 3, 5, 7, 7, 6, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 5, 5, 3, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 7, 7, 6, 6, 6, 3, 5, 5
6, 4, 4, 4, 6, 4, 4, 5, 6, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 4, 4, 3, 3, 5, 5, 3, 5, 5, 3, 5, 4, 3, 3, 4, 4, 4, 5, 3, 5, 5, 6, 4, 4, 5, 4, 4, 5, 4, 6, 4, 5, 6, 4, 5, 7, 7, 5, 5, 3, 7, 7, 7, 6, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 5, 7, 7
7, 4, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 4, 4, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 3, 3, 4, 4, 4, 5, 3, 5, 5, 6, 4, 4, 5, 4, 4, 5, 4, 6, 4, 5, 6, 4, 7, 7, 7, 5, 7, 5, 7, 7, 7, 6, 5, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 5, 3, 3, 4, 4, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 5, 7, 7
8, 4, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 6, 6, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 4, 4, 4, 5, 5, 5, 5, 6, 4, 4, 5, 4, 4, 6, 4, 6, 4, 5, 8, 4, 7, 7, 7, 5, 7, 5, 7, 7, 7, 6, 5, 7, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 4, 3, 3, 3, 5, 4, 4, 5, 5, 3, 3, 4, 4, 5, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 6, 5, 5, 5, 7, 5, 7, 7, 5, 7, 7, 7, 7, 6, 6, 6, 5, 7, 7
9, 4, 4, 4, 6, 4, 4, 8, 6, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 4, 4, 4, 5, 5, 5, 5, 6, 4, 4, 5, 4, 5, 6, 4, 6, 4, 6, 8, 4, 7, 7, 7, 5, 7, 5, 7, 8, 8, 6, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 4, 4, 5, 5, 3, 5, 4, 4, 5, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 6, 6, 6, 6, 5, 7, 5, 7, 7, 5, 7, 7, 7, 7, 6, 8, 8, 5, 7, 7
