ts, average131195ts, fastestz3, slowestz0
0, 0, 0, 0
8, 0.625000, 0.500000, 0.625000
16, 0.437500, 0.437500, 0.375000
24, 0.333333, 0.375000, 0.291667
32, 0.281250, 0.312500, 0.218750
40, 0.250000, 0.250000, 0.175000
48, 0.229167, 0.208333, 0.166667
56, 0.214286, 0.196429, 0.142857
64, 0.203125, 0.203125, 0.125000
72, 0.194444, 0.180556, 0.125000
80, 0.175000, 0.175000, 0.112500
88, 0.170455, 0.159091, 0.102273
96, 0.156250, 0.156250, 0.114583
104, 0.153846, 0.153846, 0.105769
112, 0.142857, 0.142857, 0.116071
120, 0.141667, 0.141667, 0.108333
128, 0.132812, 0.132812, 0.101562
136, 0.132353, 0.139706, 0.095588
144, 0.131944, 0.138889, 0.090278
152, 0.125000, 0.131579, 0.085526
160, 0.125000, 0.131250, 0.081250
168, 0.119048, 0.125000, 0.077381
176, 0.113636, 0.119318, 0.073864
184, 0.114130, 0.114130, 0.070652
192, 0.114583, 0.114583, 0.078125
200, 0.110000, 0.125000, 0.075000
208, 0.110577, 0.129808, 0.072115
216, 0.106481, 0.125000, 0.069444
224, 0.102679, 0.129464, 0.066964
232, 0.103448, 0.125000, 0.064655
240, 0.104167, 0.133333, 0.062500
248, 0.100806, 0.129032, 0.060484
256, 0.101562, 0.125000, 0.058594
264, 0.098485, 0.128788, 0.056818
272, 0.095588, 0.128676, 0.055147
280, 0.096429, 0.125000, 0.053571
288, 0.093750, 0.125000, 0.059028
296, 0.094595, 0.121622, 0.057432
304, 0.092105, 0.118421, 0.055921
312, 0.089744, 0.115385, 0.054487
320, 0.090625, 0.112500, 0.056250
328, 0.088415, 0.109756, 0.054878
336, 0.086310, 0.110119, 0.053571
344, 0.084302, 0.107558, 0.055233
352, 0.085227, 0.105114, 0.053977
360, 0.083333, 0.102778, 0.052778
368, 0.081522, 0.103261, 0.051630
376, 0.082447, 0.101064, 0.050532
384, 0.080729, 0.098958, 0.049479
392, 0.079082, 0.096939, 0.056122
400, 0.082500, 0.100000, 0.055000
408, 0.080882, 0.098039, 0.053922
416, 0.079327, 0.096154, 0.055288
424, 0.080189, 0.094340, 0.054245
432, 0.078704, 0.094907, 0.053241
440, 0.077273, 0.093182, 0.054545
448, 0.078125, 0.091518, 0.055804
456, 0.076754, 0.089912, 0.057018
464, 0.077586, 0.088362, 0.056034
472, 0.076271, 0.086864, 0.055085
480, 0.075000, 0.085417, 0.054167
488, 0.073770, 0.084016, 0.053279
496, 0.072581, 0.082661, 0.052419
504, 0.073413, 0.083333, 0.051587
512, 0.072266, 0.082031, 0.050781
520, 0.071154, 0.084615, 0.053846
528, 0.071970, 0.083333, 0.053030
536, 0.070896, 0.082090, 0.052239
544, 0.069853, 0.080882, 0.051471
552, 0.070652, 0.079710, 0.050725
560, 0.069643, 0.078571, 0.050000
568, 0.068662, 0.077465, 0.049296
576, 0.069444, 0.078125, 0.052083
584, 0.068493, 0.077055, 0.051370
592, 0.069257, 0.076014, 0.050676
600, 0.068333, 0.075000, 0.050000
608, 0.069079, 0.075658, 0.049342
616, 0.068182, 0.074675, 0.048701
624, 0.067308, 0.075321, 0.048077
632, 0.066456, 0.074367, 0.047468
640, 0.067187, 0.073438, 0.046875
648, 0.066358, 0.072531, 0.049383
656, 0.065549, 0.071646, 0.048780
664, 0.064759, 0.070783, 0.048193
672, 0.063988, 0.071429, 0.047619
680, 0.064706, 0.070588, 0.047059
688, 0.063953, 0.069767, 0.046512
696, 0.064655, 0.070402, 0.045977
704, 0.063920, 0.069602, 0.045455
712, 0.063202, 0.068820, 0.044944
720, 0.062500, 0.069444, 0.044444
728, 0.063187, 0.068681, 0.043956
736, 0.062500, 0.070652, 0.043478
744, 0.061828, 0.069892, 0.043011
752, 0.062500, 0.069149, 0.045213
760, 0.061842, 0.071053, 0.044737
768, 0.061198, 0.070312, 0.044271
776, 0.060567, 0.069588, 0.043814
784, 0.059949, 0.068878, 0.043367
792, 0.059343, 0.068182, 0.042929
800, 0.058750, 0.067500, 0.042500
808, 0.058168, 0.066832, 0.042079
816, 0.057598, 0.066176, 0.041667
824, 0.058252, 0.066748, 0.041262
832, 0.057692, 0.066106, 0.040865
840, 0.058333, 0.065476, 0.040476
848, 0.057783, 0.064858, 0.040094
856, 0.057243, 0.064252, 0.039720
864, 0.057870, 0.064815, 0.039352
872, 0.057339, 0.065367, 0.038991
880, 0.056818, 0.064773, 0.038636
888, 0.056306, 0.064189, 0.038288
896, 0.056920, 0.063616, 0.040179
904, 0.056416, 0.064159, 0.039823
912, 0.055921, 0.063596, 0.039474
920, 0.056522, 0.063043, 0.039130
928, 0.056034, 0.062500, 0.038793
936, 0.055556, 0.061966, 0.038462
944, 0.055085, 0.062500, 0.038136
952, 0.054622, 0.061975, 0.037815
960, 0.055208, 0.061458, 0.037500
968, 0.054752, 0.061983, 0.039256
976, 0.054303, 0.061475, 0.038934
984, 0.053862, 0.060976, 0.038618
992, 0.053427, 0.061492, 0.038306
1000, 0.054000, 0.061000, 0.038000
1008, 0.053571, 0.060516, 0.037698
1016, 0.053150, 0.060039, 0.037402
1024, 0.052734, 0.060547, 0.037109
1032, 0.053295, 0.060078, 0.037791
1040, 0.052885, 0.059615, 0.037500
1048, 0.052481, 0.059160, 0.037214
1056, 0.052083, 0.059659, 0.036932
1064, 0.052632, 0.059211, 0.036654
1072, 0.052239, 0.058769, 0.036381
1080, 0.051852, 0.058333, 0.036111
1088, 0.051471, 0.057904, 0.036765
1096, 0.052007, 0.057482, 0.036496
1104, 0.051630, 0.057065, 0.036232
1112, 0.051259, 0.056655, 0.035971
1120, 0.050893, 0.056250, 0.035714
1128, 0.050532, 0.055851, 0.035461
1136, 0.051056, 0.055458, 0.035211
1144, 0.050699, 0.056818, 0.034965
1152, 0.051215, 0.056424, 0.035590
1160, 0.050862, 0.056034, 0.035345
1168, 0.050514, 0.055651, 0.035103
1176, 0.050170, 0.055272, 0.034864
1184, 0.050676, 0.054899, 0.034628
1192, 0.050336, 0.054530, 0.034396
1200, 0.050000, 0.055833, 0.035000
1208, 0.049669, 0.056291, 0.034768
1216, 0.049342, 0.055921, 0.034539
1224, 0.049837, 0.055556, 0.034314
1232, 0.049513, 0.055195, 0.034091
1240, 0.049194, 0.054839, 0.033871
1248, 0.049679, 0.054487, 0.033654
1256, 0.049363, 0.054140, 0.033439
1264, 0.049051, 0.053797, 0.033228
1272, 0.048742, 0.053459, 0.033019
1280, 0.048438, 0.053906, 0.032813
1288, 0.048913, 0.053571, 0.032609
1296, 0.048611, 0.053241, 0.033951
1304, 0.048313, 0.052914, 0.033742
1312, 0.048780, 0.052591, 0.033537
1320, 0.048485, 0.053030, 0.033333
1328, 0.048193, 0.052711, 0.033133
1336, 0.047904, 0.052395, 0.032934
1344, 0.047619, 0.052083, 0.032738
1352, 0.047337, 0.051775, 0.032544
1360, 0.047794, 0.051471, 0.032353
1368, 0.047515, 0.051170, 0.032164
1376, 0.047238, 0.051599, 0.031977
1384, 0.047688, 0.051301, 0.031792
1392, 0.047414, 0.051006, 0.032328
1400, 0.047143, 0.050714, 0.032143
1408, 0.046875, 0.050426, 0.031960
1416, 0.047316, 0.050847, 0.031780
1424, 0.047051, 0.050562, 0.031601
1432, 0.046788, 0.050279, 0.031425
1440, 0.046528, 0.050000, 0.031250
1448, 0.046271, 0.049724, 0.031768
1456, 0.046703, 0.049451, 0.031593
1464, 0.046448, 0.049180, 0.031421
1472, 0.046196, 0.048913, 0.031250
1480, 0.045946, 0.048649, 0.031081
1488, 0.046371, 0.048387, 0.030914
1496, 0.046123, 0.048128, 0.030749
1504, 0.045878, 0.047872, 0.031250
1512, 0.046296, 0.047619, 0.031085
1520, 0.046053, 0.047368, 0.031579
1528, 0.045812, 0.047120, 0.031414
1536, 0.045573, 0.046875, 0.031250
1544, 0.045337, 0.046632, 0.031088
1552, 0.045103, 0.046392, 0.030928
1560, 0.044872, 0.046154, 0.030769
1568, 0.044643, 0.045918, 0.030612
1576, 0.044416, 0.045685, 0.030457
1584, 0.044823, 0.045455, 0.030303
1592, 0.044598, 0.045854, 0.030151
1600, 0.044375, 0.045625, 0.030000
1608, 0.044154, 0.045398, 0.030473
1616, 0.044554, 0.045173, 0.030322
1624, 0.044335, 0.044951, 0.030172
1632, 0.044118, 0.044730, 0.030025
1640, 0.043902, 0.044512, 0.029878
1648, 0.043689, 0.044296, 0.029733
1656, 0.044082, 0.044082, 0.029589
1664, 0.043870, 0.043870, 0.029447
1672, 0.043660, 0.044856, 0.029306
1680, 0.043452, 0.044643, 0.029167
1688, 0.043246, 0.044431, 0.029028
1696, 0.043042, 0.044222, 0.028892
1704, 0.042840, 0.044014, 0.028756
1712, 0.043224, 0.043808, 0.028621
1720, 0.043023, 0.044767, 0.029070
1728, 0.042824, 0.044560, 0.028935
1736, 0.042627, 0.044355, 0.028802
1744, 0.043005, 0.044151, 0.028670
1752, 0.042808, 0.043950, 0.028539
1760, 0.042614, 0.043750, 0.028409
1768, 0.042421, 0.043552, 0.028281
1776, 0.042230, 0.043356, 0.028153
1784, 0.042040, 0.043161, 0.028027
1792, 0.041853, 0.042969, 0.027902
1800, 0.042222, 0.043333, 0.027778
1808, 0.042035, 0.043142, 0.027655
1816, 0.041850, 0.043502, 0.027533
1824, 0.042215, 0.043311, 0.027961
1832, 0.042031, 0.043122, 0.027838
1840, 0.042391, 0.042935, 0.027717
1848, 0.042208, 0.042749, 0.027597
1856, 0.042026, 0.042565, 0.027478
1864, 0.041845, 0.042918, 0.027361
1872, 0.041667, 0.042735, 0.027244
1880, 0.041489, 0.042553, 0.027128
1888, 0.041314, 0.043432, 0.027013
1896, 0.041139, 0.043249, 0.026899
1904, 0.041492, 0.044643, 0.026786
1912, 0.041318, 0.044456, 0.026674
1920, 0.041146, 0.044271, 0.026562
1928, 0.040975, 0.044087, 0.026452
1936, 0.041322, 0.043905, 0.026343
1944, 0.041152, 0.043724, 0.026235
1952, 0.040984, 0.043545, 0.026639
1960, 0.041327, 0.043367, 0.026531
1968, 0.041159, 0.043191, 0.026423
1976, 0.040992, 0.043522, 0.026316
1984, 0.040827, 0.043347, 0.026210
1992, 0.040663, 0.043173, 0.026104
