ts, average131195ts, fastestz3, slowestz0
0, 2, 2, 3
8, 5, 4, 5
16, 7, 7, 6
24, 8, 9, 7
32, 9, 10, 7
40, 10, 10, 7
48, 11, 10, 8
56, 12, 11, 8
64, 13, 13, 8
72, 14, 13, 9
80, 14, 14, 9
88, 15, 14, 9
96, 15, 15, 11
104, 16, 16, 11
112, 16, 16, 13
120, 17, 17, 13
128, 17, 17, 13
136, 18, 19, 13
144, 19, 20, 13
152, 19, 20, 13
160, 20, 21, 13
168, 20, 21, 13
176, 20, 21, 13
184, 21, 21, 13
192, 22, 22, 15
200, 22, 25, 15
208, 23, 27, 15
216, 23, 27, 15
224, 23, 29, 15
232, 24, 29, 15
240, 25, 32, 15
248, 25, 32, 15
256, 26, 32, 15
264, 26, 34, 15
272, 26, 35, 15
280, 27, 35, 15
288, 27, 36, 17
296, 28, 36, 17
304, 28, 36, 17
312, 28, 36, 17
320, 29, 36, 18
328, 29, 36, 18
336, 29, 37, 18
344, 29, 37, 19
352, 30, 37, 19
360, 30, 37, 19
368, 30, 38, 19
376, 31, 38, 19
384, 31, 38, 19
392, 31, 38, 22
400, 33, 40, 22
408, 33, 40, 22
416, 33, 40, 23
424, 34, 40, 23
432, 34, 41, 23
440, 34, 41, 24
448, 35, 41, 25
456, 35, 41, 26
464, 36, 41, 26
472, 36, 41, 26
480, 36, 41, 26
488, 36, 41, 26
496, 36, 41, 26
504, 37, 42, 26
512, 37, 42, 26
520, 37, 44, 28
528, 38, 44, 28
536, 38, 44, 28
544, 38, 44, 28
552, 39, 44, 28
560, 39, 44, 28
568, 39, 44, 28
576, 40, 45, 30
584, 40, 45, 30
592, 41, 45, 30
600, 41, 45, 30
608, 42, 46, 30
616, 42, 46, 30
624, 42, 47, 30
632, 42, 47, 30
640, 43, 47, 30
648, 43, 47, 32
656, 43, 47, 32
664, 43, 47, 32
672, 43, 48, 32
680, 44, 48, 32
688, 44, 48, 32
696, 45, 49, 32
704, 45, 49, 32
712, 45, 49, 32
720, 45, 50, 32
728, 46, 50, 32
736, 46, 52, 32
744, 46, 52, 32
752, 47, 52, 34
760, 47, 54, 34
768, 47, 54, 34
776, 47, 54, 34
784, 47, 54, 34
792, 47, 54, 34
800, 47, 54, 34
808, 47, 54, 34
816, 47, 54, 34
824, 48, 55, 34
832, 48, 55, 34
840, 49, 55, 34
848, 49, 55, 34
856, 49, 55, 34
864, 50, 56, 34
872, 50, 57, 34
880, 50, 57, 34
888, 50, 57, 34
896, 51, 57, 36
904, 51, 58, 36
912, 51, 58, 36
920, 52, 58, 36
928, 52, 58, 36
936, 52, 58, 36
944, 52, 59, 36
952, 52, 59, 36
960, 53, 59, 36
968, 53, 60, 38
976, 53, 60, 38
984, 53, 60, 38
992, 53, 61, 38
1000, 54, 61, 38
1008, 54, 61, 38
1016, 54, 61, 38
1024, 54, 62, 38
1032, 55, 62, 39
1040, 55, 62, 39
1048, 55, 62, 39
1056, 55, 63, 39
1064, 56, 63, 39
1072, 56, 63, 39
1080, 56, 63, 39
1088, 56, 63, 40
1096, 57, 63, 40
1104, 57, 63, 40
1112, 57, 63, 40
1120, 57, 63, 40
1128, 57, 63, 40
1136, 58, 63, 40
1144, 58, 65, 40
1152, 59, 65, 41
1160, 59, 65, 41
1168, 59, 65, 41
1176, 59, 65, 41
1184, 60, 65, 41
1192, 60, 65, 41
1200, 60, 67, 42
1208, 60, 68, 42
1216, 60, 68, 42
1224, 61, 68, 42
1232, 61, 68, 42
1240, 61, 68, 42
1248, 62, 68, 42
1256, 62, 68, 42
1264, 62, 68, 42
1272, 62, 68, 42
1280, 62, 69, 42
1288, 63, 69, 42
1296, 63, 69, 44
1304, 63, 69, 44
1312, 64, 69, 44
1320, 64, 70, 44
1328, 64, 70, 44
1336, 64, 70, 44
1344, 64, 70, 44
1352, 64, 70, 44
1360, 65, 70, 44
1368, 65, 70, 44
1376, 65, 71, 44
1384, 66, 71, 44
1392, 66, 71, 45
1400, 66, 71, 45
1408, 66, 71, 45
1416, 67, 72, 45
1424, 67, 72, 45
1432, 67, 72, 45
1440, 67, 72, 45
1448, 67, 72, 46
1456, 68, 72, 46
1464, 68, 72, 46
1472, 68, 72, 46
1480, 68, 72, 46
1488, 69, 72, 46
1496, 69, 72, 46
1504, 69, 72, 47
1512, 70, 72, 47
1520, 70, 72, 48
1528, 70, 72, 48
1536, 70, 72, 48
1544, 70, 72, 48
1552, 70, 72, 48
1560, 70, 72, 48
1568, 70, 72, 48
1576, 70, 72, 48
1584, 71, 72, 48
1592, 71, 73, 48
1600, 71, 73, 48
1608, 71, 73, 49
1616, 72, 73, 49
1624, 72, 73, 49
1632, 72, 73, 49
1640, 72, 73, 49
1648, 72, 73, 49
1656, 73, 73, 49
1664, 73, 73, 49
1672, 73, 75, 49
1680, 73, 75, 49
1688, 73, 75, 49
1696, 73, 75, 49
1704, 73, 75, 49
1712, 74, 75, 49
1720, 74, 77, 50
1728, 74, 77, 50
1736, 74, 77, 50
1744, 75, 77, 50
1752, 75, 77, 50
1760, 75, 77, 50
1768, 75, 77, 50
1776, 75, 77, 50
1784, 75, 77, 50
1792, 75, 77, 50
1800, 76, 78, 50
1808, 76, 78, 50
1816, 76, 79, 50
1824, 77, 79, 51
1832, 77, 79, 51
1840, 78, 79, 51
1848, 78, 79, 51
1856, 78, 79, 51
1864, 78, 80, 51
1872, 78, 80, 51
1880, 78, 80, 51
1888, 78, 82, 51
1896, 78, 82, 51
1904, 79, 85, 51
1912, 79, 85, 51
1920, 79, 85, 51
1928, 79, 85, 51
1936, 80, 85, 51
1944, 80, 85, 51
1952, 80, 85, 52
1960, 81, 85, 52
1968, 81, 85, 52
1976, 81, 86, 52
1984, 81, 86, 52
1992, 81, 86, 52
2000, 82, 86, 52
2008, 82, 86, 52
2016, 82, 88, 52
2024, 82, 88, 52
2032, 82, 89, 52
2040, 83, 89, 52
2048, 83, 89, 52
2056, 83, 89, 52
2064, 84, 90, 52
2072, 84, 90, 52
2080, 84, 90, 52
2088, 84, 91, 52
2096, 85, 91, 52
2104, 85, 91, 52
2112, 85, 91, 52
2120, 85, 91, 52
2128, 85, 91, 52
2136, 85, 91, 52
2144, 86, 92, 52
2152, 86, 92, 52
2160, 86, 92, 53
2168, 86, 92, 53
2176, 87, 93, 53
2184, 87, 93, 53
2192, 87, 93, 53
2200, 87, 93, 53
2208, 87, 93, 53
2216, 87, 94, 53
2224, 88, 94, 53
2232, 88, 94, 53
2240, 88, 95, 53
2248, 88, 95, 53
2256, 88, 95, 53
2264, 88, 95, 53
2272, 88, 96, 53
2280, 88, 96, 53
2288, 88, 96, 53
2296, 89, 99, 53
2304, 89, 99, 53
2312, 89, 99, 53
2320, 89, 99, 53
2328, 89, 99, 53
2336, 90, 99, 53
2344, 90, 99, 53
2352, 91, 101, 53
2360, 91, 101, 53
2368, 91, 101, 53
2376, 91, 101, 53
2384, 91, 101, 53
2392, 91, 101, 53
2400, 92, 101, 53
2408, 92, 101, 53
2416, 92, 101, 53
2424, 92, 101, 53
2432, 92, 101, 53
2440, 92, 101, 53
2448, 93, 103, 53
2456, 93, 103, 53
2464, 93, 103, 53
2472, 93, 103, 53
2480, 93, 103, 53
